"movie"	"IMDb_id"	"gross"	"budget"	"roi"	"release_date"
"Philadelphia"	"0107818"	77324422	26000000	2.9740162307692306	"1994-01-14"
"Where the Wild Things Are"	"0386117"	77222184	100000000	0.77222184	"2009-10-16"
"The Terminal"	"0362227"	77032279	60000000	1.2838713166666667	"2004-06-18"
"The Untouchables"	"0094226"	76270454	25000000	3.05081816	"1987-06-03"
"Training Day"	"0139654"	76261036	45000000	1.694689688888889	"2001-10-05"
"White Men Can't Jump"	"0105812"	76253806	0	0	"1992-03-27"
"48 Hrs."	"0083511"	75900000	12000000	6.325	"1982-12-08"
"The Family Man"	"0218967"	75764085	60000000	1.26273475	"2000-12-22"
"Contagion"	1598778	75638743	60000000	1.2606457166666667	"2011-09-09"
"We Bought a Zoo"	1389137	75621915	50000000	1.5124383	"2011-12-23"
"Moneyball"	1210166	75605492	50000000	1.51210984	"2011-09-23"
"Braveheart"	"0112573"	75600000	72000000	1.05	"1995-05-24"
"The Rookie"	"0265662"	75597042	20000000	3.7798521	"2002-03-29"
"Any Given Sunday"	"0146838"	75530832	55000000	1.3732878545454545	"1999-12-22"
"Constantine"	"0360486"	75500759	100000000	0.75500759	"2005-02-18"
"The Horse Whisperer"	"0119314"	75370763	60000000	1.2561793833333332	"1998-05-15"
"The Girl on the Train"	3631112	75311445	45000000	1.6735876666666667	"2016-10-07"
"Ray"	"0350258"	75305995	40000000	1.882649875	"2004-10-29"
"The Intern"	2361509	75274748	35000000	2.1507070857142856	"2015-09-25"
"Barbershop"	"0303714"	75074950	12000000	6.256245833333334	"2002-09-13"
"The Exorcism of Emily Rose"	"0404032"	75072454	20000000	3.7536227	"2005-09-09"
"The Prince of Tides"	"0102713"	74787599	30000000	2.492919966666667	"1991-12-25"
"Ladder 49"	"0349710"	74540762	55000000	1.3552865818181818	"2004-10-01"
"Four Brothers"	"0430105"	74484168	45000000	1.6552037333333334	"2005-08-12"
"No Country for Old Men"	"0477348"	74273505	25000000	2.9709402	"2007-11-21"
"Along Came a Spider"	"0164334"	74058698	60000000	1.2343116333333333	"2001-04-06"
"Hugo"	"0970179"	73820094	150000000	0.49213396	"2011-11-23"
"Law Abiding Citizen"	1197624	73343413	50000000	1.46686826	"2009-10-16"
"White House Down"	2334879	73103784	150000000	0.48735856	"2013-06-28"
"The Last of the Mohicans"	"0104691"	72455275	40000000	1.811381875	"1992-09-25"
"Bridge of Spies"	3682448	72306065	40000000	1.807651625	"2015-10-16"
"Dolphin Tale"	1564349	72279690	37000000	1.9535051351351351	"2011-09-23"
"Vantage Point"	"0443274"	72266306	40000000	1.80665765	"2008-02-22"
"My Fair Lady"	"0058385"	72000000	17000000	4.235294117647059	"1964-12-25"
"10 Cloverfield Lane"	1179933	71897215	15000000	4.793147666666667	"2016-03-11"
"Sideways"	"0375063"	71502303	12000000	5.95852525	"2005-01-21"
"Bridget Jones's Diary"	"0243155"	71500556	25000000	2.86002224	"2001-04-13"
"Safe Haven"	1702439	71346930	28000000	2.548104642857143	"2013-02-14"
