"movie"	"IMDb_id"	"gross"	"budget"	"roi"	"release_date"
"The Magnificent Seven"	2404435	93381044	90000000	1.0375671555555555	"2016-09-23"
"Cats & Dogs"	"0239395"	93375151	60000000	1.5562525166666668	"2001-07-04"
"The Poseidon Adventure"	"0069113"	93300000	5000000	18.66	"1972-12-13"
"Elysium"	1535108	93050117	115000000	0.809131452173913	"2013-08-09"
"Star Trek: First Contact"	"0117731"	92001027	45000000	2.0444672666666666	"1996-11-22"
"John Wick: Chapter 2"	4425200	91970516	40000000	2.2992629	"2017-02-10"
"Non-Stop"	2024469	91439400	50000000	1.828788	"2014-02-28"
"Crimson Tide"	"0112740"	91400000	990000	92.32323232323232	"1995-05-12"
"Ride Along 2"	2869728	90835030	40000000	2.27087575	"2016-01-15"
"The Karate Kid"	"0087538"	90800000	8000000	11.35	"1984-06-22"
"Prince of Persia: The Sands of Time"	"0473075"	90755643	200000000	0.453778215	"2010-05-28"
"Space Cowboys"	"0186566"	90454043	65000000	1.3916006615384615	"2000-08-04"
"RED"	1245526	90356857	58000000	1.5578768448275861	"2010-10-15"
"The Scorpion King"	"0277296"	90341670	60000000	1.5056945	"2002-04-19"
"Terminator Genisys"	1340138	89732035	155000000	0.5789163548387096	"2015-07-01"
"The Lone Ranger"	1210819	89289910	215000000	0.4153019069767442	"2013-07-03"
"Taken 3"	2446042	89253340	48000000	1.8594445833333333	"2015-01-09"
"Oblivion"	1483013	89021735	120000000	0.7418477916666667	"2013-04-19"
"Waterworld"	"0114898"	88246220	175000000	0.5042641142857143	"1995-07-28"
"Entrapment"	"0137494"	87704396	66000000	1.328854484848485	"1999-04-30"
"Back to the Future Part III"	"0099088"	87666629	40000000	2.191665725	"1990-05-25"
"Pineapple Express"	"0910936"	87341380	27000000	3.234865925925926	"2008-08-06"
"The Accountant"	2140479	86198014	44000000	1.9590457727272728	"2016-10-14"
"Pokémon: The First Movie - Mewtwo Strikes Back"	"0190641"	85744662	30000000	2.8581554	"1999-11-10"
"Fury"	2713180	85707116	68000000	1.2603987647058823	"2014-10-17"
"Spy Kids 2: Island of Lost Dreams"	"0287717"	85570368	38000000	2.251851789473684	"2002-08-07"
"Real Steel"	"0433035"	85463309	110000000	0.7769391727272728	"2011-10-07"
"Stripes"	"0083131"	85300000	10000000	8.53	"1981-06-26"
"Alien"	"0078748"	85200000	11000000	7.745454545454545	"1979-06-22"
"Power Rangers"	3717490	85067486	100000000	0.85067486	"2017-03-24"
"The Expendables 2"	1764651	85017401	100000000	0.85017401	"2012-08-17"
"Cliffhanger"	"0106582"	84049211	70000000	1.2007030142857142	"1993-05-28"
"Atlantis: The Lost Empire"	"0230011"	84037039	120000000	0.7003086583333333	"2001-06-15"
"Wrath of the Titans"	1646987	83640426	150000000	0.55760284	"2012-03-30"
"Battle Los Angeles"	1217613	83552429	70000000	1.1936061285714286	"2011-03-11"
"Immortals"	1253864	83503161	75000000	1.11337548	"2011-11-11"
"Under Siege"	"0105690"	83363139	35000000	2.3818039714285715	"1992-10-09"
"Patriot Games"	"0105112"	83287363	45000000	1.8508302888888888	"1992-06-05"
"Days of Thunder"	"0099371"	82670733	60000000	1.37784555	"1990-06-27"
"Freddy vs. Jason"	"0329101"	82163317	30000000	2.7387772333333333	"2003-08-15"
"Beowulf"	"0442933"	82161969	150000000	0.54774646	"2007-11-16"
"Maze Runner: The Scorch Trials"	4046784	81687587	61000000	1.3391407704918032	"2015-09-18"
"Blade II"	"0187738"	81645152	54000000	1.5119472592592593	"2002-03-22"
"Unstoppable"	"0477080"	81557479	100000000	0.81557479	"2010-11-12"
"Payback"	"0120784"	81517441	90000000	0.9057493444444444	"1999-02-05"
"Die Hard"	"0095016"	81350242	28000000	2.905365785714286	"1988-07-20"
"Congo"	"0112715"	81022333	50000000	1.62044666	"1995-06-09"
