"movie"	"IMDb_id"	"gross"	"budget"	"roi"	"release_date"
"See full summary"	"0114825"	19900000	20000000	0.995	"1995-10-27"
"The Serpent and the Rainbow"	"0096071"	19595031	7000000	2.799290142857143	"1988-02-05"
"Jason Lives: Friday the 13th Part VI"	"0091080"	19472057	3000000	6.490685666666667	"1986-08-01"
"House"	"0091223"	19445000	3000000	6.4816666666666665	"1986-02-28"
"Cursed"	"0257516"	19294901	38000000	0.5077605526315789	"2005-02-25"
"Willard"	"0067991"	19216000	0	0	"1971-07-30"
"Friday the 13th Part VII: The New Blood"	"0095179"	19170001	2800000	6.846428928571428	"1988-05-13"
"Species II"	"0120841"	19165560	35000000	0.54758742857	"1998-04-10"
"Friday the 13th Part 2"	"0082418"	19100000	1250000	15.28	"1981-05-01"
"Vacancy"	"0452702"	18986844	19000000	0.9993075789473684	"2007-04-20"
"Shark Night 3D"	1633356	18860403	25000000	0.75441612	"2011-09-02"
"The Believers"	"0092632"	18753438	0	0	"1987-06-10"
"Ultraviolet"	"0370032"	18500966	30000000	0.6166988666666666	"2006-03-03"
"You're Next"	1853739	18474268	1000000	18.474268	"2013-08-23"
"Fright Night"	1438176	18298649	30000000	0.6099549666666667	"2011-08-19"
"Paranormal Activity: The Ghost Dimension"	2473510	18247445	10000000	1.8247445	"2015-10-23"
"Chernobyl Diaries"	1991245	18112929	1000000	18.112929	"2012-05-25"
"New Nightmare"	"0111686"	18090181	8000000	2.261272625	"1994-10-14"
"The Howling"	"0082533"	17986000	1000000	17.986	"1981-04-10"
"Halloween 4: The Return of Michael Myers"	"0095271"	17768000	5000000	3.5536	"1988-10-21"
"The Rage: Carrie 2"	"0144814"	17757087	21000000	0.8455755714285714	"1999-03-12"
"Apollo 18"	1772240	17683670	5000000	3.536734	"2011-09-02"
"Hostel: Part II"	"0498353"	17544812	10000000	1.7544812	"2007-06-08"
"Silent Hill: Revelation"	"0938330"	17529157	20000000	0.87645785	"2012-10-26"
"The Ruins"	"0963794"	17427926	8000000	2.17849075	"2008-04-04"
"Dark Skies"	2387433	17411930	3500000	4.974837142857143	"2013-02-22"
"Disturbing Behavior"	"0134619"	17411331	15000000	1.1607554	"1998-07-24"
"Eight Legged Freaks"	"0271367"	17266505	30000000	0.5755501666666667	"2002-07-17"
"Angel Heart"	"0092563"	17185632	17000000	1.0109195294117648	"1987-03-06"
"Diabolique"	"0116095"	17100000	45000000	0.38	"1996-03-22"
"Pet Sematary II"	"0105128"	17092453	8000000	2.136556625	"1992-08-28"
"The Guardian"	"0099710"	17037887	70000000	0.24339838571	"1990-04-27"
"Seed of Chucky"	"0387575"	17016190	12000000	1.4180158333333333	"2004-11-12"
"See full summary"	"0076271"	17000000	500000	34.0	"1977-11"
"Splice"	1017460	16999046	26000000	0.6538094615384615	"2010-06-04"
"The Thing"	"0905372"	16907450	38000000	0.4449328947368421	"2011-10-14"
"The Devil's Rejects"	"0395584"	16901126	7000000	2.4144465714285714	"2005-07-22"
"See full summary"	"0160484"	16779636	50000000	0.33559272	"2000-10-13"
"Hellraiser: Bloodline"	"0116514"	16675000	4000000	4.16875	"1996-03-08"
"Tremors"	"0100814"	16667084	11000000	1.5151894545454545	"1990-01-19"
"Buffy the Vampire Slayer"	"0103893"	16624456	7000000	2.3749222857142858	"1992-07-31"
"Shocker"	"0098320"	16554699	5000000	3.3109398	"1989-10-27"
"Dead Silence"	"0455760"	16545445	20000000	0.82727225	"2007-03-16"
"The Frighteners"	"0116365"	16524115	30000000	0.5508038333333334	"1996-07-19"
"The Hitcher"	"0455960"	16366370	10000000	1.636637	"2007-01-19"
